rank,stadium,capacity,regions,country,city,images,home_team,location
285,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[37.4635299, 121.44801]"
286,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/250px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"ATM FA, Negeri Sembilan","[2.7260058, 101.9831067]"
287,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/250px-Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès, Maghreb de Fès, Morocco national team","[34.0027881, -4.9689129]"
288,Lagos National Stadium,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Nigeria national football team,"[6.5243793, 3.3792057]"
289,Egyptian Army Stadium,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[26.820553, 30.802498]"
290,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/250px-JPNxGEO20180623_%283%29.jpg,"Nagoya Grampus, Toyota Verblitz","[35.0845465, 137.1708958]"
291,Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/250px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,,"[24.415811, 54.4543442]"
292,Red Bull Arena,44345,Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/250px-Leipzig_stadium.jpg,RB Leipzig,"[51.3457824, 12.3482689]"
293,Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC","[-5.1163546, -42.7931291]"
294,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/250px-0253l.jpg,"EC Comercial, Operário FC","[-20.5019956, -54.6100501]"
295,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/250px-Munsu_20121110_204310_5.jpg,Ulsan HD FC,"[35.5352727, 129.2595198]"
296,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/250px-Arena_Pantanal.jpg,"Cuiabá, Mixto EC","[-15.6040194, -56.1216245]"
297,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/250px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional FC,"[-3.0832457, -60.0281392]"
298,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/250px-20121003_Suwon_vs_Seoul.jpg,Suwon Samsung Bluewings,"[37.2864742, 127.036866]"
299,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/250px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS Pekanbaru,"[0.4836069, 101.3895329]"
300,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/250px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE Palmeiras,"[-23.5276207, -46.6784662]"
301,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/250px-SHANGDONGSPORTS.jpg,,"[36.6471197, 117.0085871]"
302,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/250px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia Gdańsk,"[54.3899458, 18.6403027]"
303,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/250px-Platea_Este_Nuevo_Gasometro_1.jpg,CA San Lorenzo de Almagro,"[-34.6520743, -58.4401202]"
304,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/250px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"Lech Poznań, Warta Poznań","[52.3977061, 16.8580903]"
305,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/250px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team,"[42.6882036, 23.3345562]"
306,Estadio Universidad San Marcos,43000,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/UNMSM_Estadio_San_Marcos_-_2019.png/250px-UNMSM_Estadio_San_Marcos_-_2019.png,Deportivo Universidad San Marcos,"[-12.0578631, -77.0830288]"
307,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/250px-Ullevi_stadium%2C_23_june_2018.png,Sweden women's national football team,"[58.433333, 15.583333]"
308,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[40.871407, 121.07158]"
309,Estadio General Santander,42901,South America,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/250px-Cucuta704.jpg,Cúcuta Deportivo,"[7.8947296, -72.5019955]"
310,Villa Park,42682,Europe,England,"Birmingham, West Midlands",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/250px-Villa_Stadion_panorama_2016.jpg,Aston Villa,"[52.5091117, -1.8847828]"
311,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/250px-Perak_Stadium.JPG,Perak FA,"[4.6093372, 101.1036154]"
312,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/250px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC,"[35.8680746, 127.0644811]"
313,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/250px-Arenadabaixada2.jpg,Athletico Paranaense,"[-25.4482116, -49.2769866]"
314,Weserstadion,42358,Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/250px-Weserstadion_panorama.JPG,SV Werder Bremen,"[53.0668032, 8.8379294]"
315,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/250px-Bigswan080628.JPG,Albirex Niigata,"[37.8825487, 139.0591643]"
316,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/250px-Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida,"[8.5560713, -71.2179724]"
317,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/250px-Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen,"[36.3652659, 127.3250762]"
318,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/250px-500px_photo_%28165733217%29.jpeg,FC Girondins de Bordeaux,"[44.8973583, -0.5615863]"
319,Helsingin Olympiastadion,42062,Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/250px-Olympiastadion_2_2020-08-12.jpg,Finland national football team,"[60.1869855, 24.9272067]"
